title,authors,genres,scored,popularty,status
The Second Coming of Gluttony #54,Cocooned Cow,Action,7.177666666666667,42126,Hiatus
Martial World #55,Cocooned Cow,Action,5.094,68154,Hiatus
Dungeon Defense #56,Cocooned Cow,Action,6.613666666666666,62060,Completed
The King's Avatar #57,Masashi Kishimoto,Horror,7.099333333333332,6249,Completed
Tokyo Ghoul #58,Tite Kubo,Action,9.402333333333331,98661,Ongoing
Overgeared #59,Cheongcho,Fantasy,8.29,12509,Completed
I Shall Seal the Heavens #60,Zhu Hong,Action,9.277000000000001,45606,Completed
Release That Witch #61,Heavenly Silkworm Potato,Adventure,5.391666666666667,89642,Ongoing
Battle Through the Heavens #62,Nam Heesung,Sci-Fi,9.23,98283,Completed
Attack on Titan #63,Tite Kubo,Sci-Fi,9.041999999999998,38715,Hiatus
Solo Leveling #64,Hajime Isayama,Action,7.1306666666666665,8239,Hiatus
Desolate Era #65,Masashi Kishimoto,Adventure,7.2716666666666665,49850,Completed
Douluo Dalu #66,Toika,Drama,7.616333333333333,10524,Ongoing
A Returner’s Magic Should Be Special #67,Kugane Maruyama,Comedy,6.613666666666666,52766,Ongoing
Stellar Transformation #68,Cheongcho,Sci-Fi,5.532666666666667,50168,Ongoing
Trash of the Count’s Family #69,Kim Jeongho,Drama,5.062666666666667,14402,Ongoing
Douluo Dalu #70,Reki Kawahara,Adventure,5.219333333333333,64307,Completed
The Legendary Moonlight Sculptor #71,Koyoharu Gotouge,Adventure,8.29,1755,Completed
I Shall Seal the Heavens #72,Yoo Ryeo Han,Comedy,8.415333333333333,72582,Hiatus
Ranker Who Lives A Second Time #73,Sing Shong,Action,7.334333333333333,45931,Hiatus
A Returner’s Magic Should Be Special #74,Toika,Horror,7.083666666666666,15321,Hiatus
Martial World #75,Hajime Isayama,Comedy,8.117666666666667,87657,Completed
Sword Art Online #76,Kohei Horikoshi,Comedy,8.509333333333332,26631,Completed
Douluo Dalu #77,Goose Five,Drama,5.3133333333333335,1941,Hiatus
Overgeared #78,Reki Kawahara,Comedy,7.506666666666666,68125,Completed
Overlord #79,Kugane Maruyama,Action,8.822666666666667,50393,Ongoing
Against the Gods #80,Tappei Nagatsuki,Action,6.394333333333333,21834,Hiatus
Battle Through the Heavens #81,I Eat Tomatoes,Sci-Fi,7.804333333333333,54768,Ongoing
Omniscient Reader's Viewpoint #82,Cocooned Cow,Romance,7.428333333333333,77046,Completed
Release That Witch #83,Wo Chi Xi Hong Shi,Comedy,7.020999999999999,33801,Hiatus
Re:Zero #84,Cocooned Cow,Horror,7.632,12833,Ongoing
Dungeon Defense #85,Reki Kawahara,Action,9.559,87356,Completed
The Second Coming of Gluttony #86,Tappei Nagatsuki,Comedy,5.689333333333333,2311,Ongoing
The King's Avatar #87,Tite Kubo,Sci-Fi,6.958333333333333,1372,Ongoing
Dungeon Defense #88,Kohei Horikoshi,Fantasy,7.741666666666666,64831,Ongoing
Martial World #89,Er Gen,Fantasy,7.851333333333333,38248,Ongoing
Bleach #90,Masashi Kishimoto,Comedy,5.219333333333333,10131,Ongoing
A Returner’s Magic Should Be Special #91,Yoo Ryeo Han,Drama,7.240333333333334,72774,Ongoing
Release That Witch #92,Yoo Ryeo Han,Adventure,5.203666666666667,56907,Hiatus
Dungeon Defense #93,Reki Kawahara,Adventure,7.161999999999999,42912,Ongoing
Overgeared #94,Cocooned Cow,Horror,6.3629999999999995,34657,Hiatus
Overlord #95,Blue Butterfly,Drama,8.901,83937,Completed
Tokyo Ghoul #96,Reki Kawahara,Horror,7.177666666666667,49466,Ongoing
The Second Coming of Gluttony #97,Eiichiro Oda,Sci-Fi,6.41,79032,Ongoing
The King's Avatar #98,Goose Five,Comedy,7.146333333333333,93057,Completed
Reincarnation of the Strongest Sword God #99,Sui Ishida,Comedy,9.606,74430,Completed
I Shall Seal the Heavens #100,Jeong Gong,Romance,6.457,31455,Hiatus
I Shall Seal the Heavens #101,Koyoharu Gotouge,Fantasy,9.386666666666667,81520,Ongoing
Dungeon Defense #102,Cocooned Cow,Horror,6.096666666666667,78298,Ongoing
Coiling Dragon #103,Tappei Nagatsuki,Horror,5.376,94701,Hiatus
Against the Gods #104,Zhu Hong,Romance,6.488333333333333,4717,Hiatus
Release That Witch #105,Kim Jeongho,Fantasy,6.927,18871,Completed
A Returner’s Magic Should Be Special #106,Toika,Romance,5.830333333333333,24914,Hiatus
Overlord #107,Heavenly Silkworm Potato,Drama,6.002666666666666,32160,Ongoing
Martial World #108,Er Gen,Action,5.360333333333333,88005,Hiatus
Tokyo Ghoul #109,Zhu Hong,Drama,9.308333333333334,96736,Hiatus
One Piece #110,Jeong Gong,Drama,8.603333333333332,95828,Ongoing
My Hero Academia #111,Zhu Hong,Romance,6.770333333333333,43979,Completed
Tokyo Ghoul #112,Drunken Blue,Horror,7.177666666666667,75490,Completed
My Hero Academia #113,Blue Butterfly,Horror,5.987,62672,Hiatus
Overlord #114,I Eat Tomatoes,Horror,5.783333333333333,29786,Completed
Dungeon Defense #115,Cocooned Cow,Fantasy,8.744333333333332,5714,Completed
Dungeon Defense #116,Nam Heesung,Adventure,6.3629999999999995,5078,Ongoing
The Legendary Moonlight Sculptor #117,Hajime Isayama,Sci-Fi,8.227333333333332,85363,Completed
I Shall Seal the Heavens #118,Jeong Gong,Sci-Fi,9.449333333333332,76652,Hiatus
Dungeon Defense #119,Eiichiro Oda,Comedy,7.506666666666666,5205,Completed
Overgeared #120,Zhu Hong,Sci-Fi,7.600666666666666,82960,Completed
My Hero Academia #121,Er Gen,Fantasy,8.008,80672,Ongoing
Ranker Who Lives A Second Time #122,Chugong,Romance,9.261333333333333,14270,Ongoing
Battle Through the Heavens #123,Masashi Kishimoto,Action,5.282,6747,Ongoing
The King's Avatar #124,Tappei Nagatsuki,Drama,8.509333333333332,25198,Hiatus
Demon Slayer #125,Cheongcho,Drama,6.864333333333333,25881,Completed
Desolate Era #126,I Eat Tomatoes,Romance,6.378666666666666,36203,Completed
Naruto #127,Cheongcho,Fantasy,9.543333333333333,52776,Hiatus
Douluo Dalu #128,Koyoharu Gotouge,Fantasy,8.697333333333333,88584,Completed
Douluo Dalu #129,Yoo Ryeo Han,Sci-Fi,7.992333333333333,7480,Hiatus
Bleach #130,Kim Jeongho,Romance,5.548333333333334,5282,Hiatus
Solo Leveling #131,Masashi Kishimoto,Comedy,8.352666666666666,23392,Hiatus
Battle Through the Heavens #132,Kim Jeongho,Fantasy,5.7989999999999995,44973,Ongoing
Trash of the Count’s Family #133,Drunken Blue,Comedy,8.211666666666666,67489,Hiatus
Sword Art Online #134,Kugane Maruyama,Horror,6.269,12776,Ongoing
Release That Witch #135,Yoo Ryeo Han,Fantasy,6.018333333333333,98708,Completed
Attack on Titan #136,Er Gen,Comedy,8.305666666666667,58319,Ongoing
I Shall Seal the Heavens #137,Hajime Isayama,Fantasy,6.598,32981,Hiatus
Battle Through the Heavens #138,I Eat Tomatoes,Action,5.485666666666667,26330,Ongoing
Release That Witch #139,Drunken Blue,Horror,8.431000000000001,50645,Completed
Trash of the Count’s Family #140,MOKF,Adventure,5.1723333333333334,45448,Hiatus
Battle Through the Heavens #141,Wo Chi Xi Hong Shi,Romance,5.031333333333333,15270,Completed
Against the Gods #142,Masashi Kishimoto,Action,6.316,39028,Hiatus
Martial World #143,Er Gen,Romance,8.822666666666667,82849,Ongoing
Desolate Era #144,Goose Five,Action,9.559,95350,Ongoing
Sword Art Online #145,Jeong Gong,Sci-Fi,5.329,36678,Ongoing
Solo Leveling #146,Sing Shong,Fantasy,7.7573333333333325,13459,Completed
Re:Zero #147,Kugane Maruyama,Romance,9.684333333333333,80913,Completed
Martial World #148,Nokdu,Action,8.415333333333333,88783,Hiatus
Overlord #149,Kohei Horikoshi,Fantasy,9.355333333333334,45812,Hiatus
Trash of the Count’s Family #150,Nam Heesung,Drama,8.29,96670,Completed
Bleach #151,Reki Kawahara,Comedy,8.117666666666667,96185,Completed
Attack on Titan #152,Yoo Ryeo Han,Fantasy,8.008,20826,Ongoing
Demon Slayer #153,Drunken Blue,Sci-Fi,8.008,6335,Ongoing
Demon Slayer #154,Tang Jia San Shao,Romance,6.425666666666666,47340,Hiatus
Battle Through the Heavens #155,Tappei Nagatsuki,Horror,5.548333333333334,34959,Completed
Ranker Who Lives A Second Time #156,Kim Jeongho,Adventure,9.355333333333334,26986,Completed
The Second Coming of Gluttony #157,Toika,Adventure,5.015666666666666,35492,Hiatus
Omniscient Reader's Viewpoint #158,Heavenly Silkworm Potato,Horror,5.564,98323,Ongoing
Sword Art Online #159,Chugong,Sci-Fi,5.548333333333334,78315,Ongoing
Coiling Dragon #160,Kugane Maruyama,Romance,6.613666666666666,49999,Ongoing
Desolate Era #161,Tappei Nagatsuki,Fantasy,5.1723333333333334,23028,Hiatus
Release That Witch #162,Drunken Blue,Adventure,5.062666666666667,68092,Hiatus
Battle Through the Heavens #163,Chugong,Action,7.1306666666666665,99187,Ongoing
Release That Witch #164,Chugong,Action,5.094,68542,Ongoing
The Legendary Moonlight Sculptor #165,Nokdu,Adventure,6.018333333333333,46642,Hiatus
My Hero Academia #166,Hajime Isayama,Horror,6.660666666666667,41262,Hiatus
Tokyo Ghoul #167,Toika,Romance,8.885333333333334,25390,Ongoing
The Legendary Moonlight Sculptor #168,Drunken Blue,Romance,5.626666666666667,83083,Ongoing
The Legendary Moonlight Sculptor #169,Reki Kawahara,Sci-Fi,9.041999999999998,7441,Hiatus
Stellar Transformation #170,Chugong,Drama,8.509333333333332,32259,Hiatus
Sword Art Online #171,Cocooned Cow,Romance,6.832999999999999,70372,Hiatus
Against the Gods #172,Sui Ishida,Action,8.399666666666665,57101,Ongoing
A Returner’s Magic Should Be Special #173,Koyoharu Gotouge,Horror,8.008,94298,Ongoing
Stellar Transformation #174,Eiichiro Oda,Horror,8.634666666666666,96887,Ongoing
Reincarnation of the Strongest Sword God #175,Zhu Hong,Romance,6.598,36005,Ongoing
Reincarnation of the Strongest Sword God #176,Cheongcho,Romance,5.8773333333333335,30633,Ongoing
I Shall Seal the Heavens #177,Wo Chi Xi Hong Shi,Sci-Fi,6.832999999999999,48119,Completed
My Hero Academia #178,Tang Jia San Shao,Action,7.428333333333333,93840,Ongoing
Reincarnation of the Strongest Sword God #179,Sui Ishida,Horror,5.626666666666667,39887,Hiatus
Sword Art Online #180,Er Gen,Sci-Fi,8.854,8009,Completed
Dungeon Defense #181,Drunken Blue,Comedy,6.002666666666666,11368,Completed
Overlord #182,Heavenly Silkworm Potato,Action,9.606,47019,Completed
One Piece #183,Cocooned Cow,Action,8.697333333333333,48551,Hiatus
The Second Coming of Gluttony #184,Cocooned Cow,Drama,8.211666666666666,58991,Hiatus
Omniscient Reader's Viewpoint #185,Sui Ishida,Horror,8.462333333333333,66734,Hiatus
Martial World #186,Yoo Ryeo Han,Sci-Fi,5.266333333333333,58280,Ongoing
Demon Slayer #187,Sing Shong,Sci-Fi,8.775666666666666,95295,Completed
The King's Avatar #188,Chugong,Romance,5.485666666666667,15556,Ongoing
Trash of the Count’s Family #189,Yoo Ryeo Han,Drama,6.394333333333333,6766,Ongoing
The Legendary Moonlight Sculptor #190,Wo Chi Xi Hong Shi,Sci-Fi,5.814666666666667,57911,Hiatus
Against the Gods #191,Toika,Comedy,5.125333333333334,23114,Ongoing
Release That Witch #192,Reki Kawahara,Fantasy,6.9896666666666665,57926,Hiatus
Release That Witch #193,Sui Ishida,Drama,5.297666666666666,72145,Hiatus
Demon Slayer #194,Tang Jia San Shao,Adventure,8.399666666666665,62330,Ongoing
One Piece #195,Er Gen,Action,8.117666666666667,35614,Ongoing
One Piece #196,Cheongcho,Fantasy,9.010666666666665,67672,Ongoing
Trash of the Count’s Family #197,Masashi Kishimoto,Drama,8.854,25687,Ongoing
Re:Zero #198,Kohei Horikoshi,Comedy,5.517,50404,Ongoing
Naruto #199,Yoo Ryeo Han,Adventure,7.099333333333332,42888,Hiatus
Bleach #200,Drunken Blue,Comedy,8.947999999999999,76020,Ongoing
One Piece #201,I Eat Tomatoes,Comedy,7.866999999999999,76183,Ongoing
Bleach #202,Sing Shong,Adventure,5.329,27143,Completed
My Hero Academia #203,Chugong,Fantasy,7.976666666666667,9830,Completed
Overgeared #204,Heavenly Silkworm Potato,Comedy,9.652999999999999,62994,Hiatus
Naruto #205,Hajime Isayama,Sci-Fi,7.647666666666666,37999,Hiatus
Battle Through the Heavens #206,Nokdu,Fantasy,6.801666666666666,84756,Ongoing
The King's Avatar #207,MOKF,Adventure,5.6579999999999995,85553,Ongoing
Re:Zero #208,Tite Kubo,Comedy,6.472666666666666,28796,Ongoing
Re:Zero #209,Kim Jeongho,Action,5.987,56001,Hiatus
One Piece #210,Reki Kawahara,Adventure,7.381333333333333,97584,Hiatus
Martial World #211,Eiichiro Oda,Romance,6.2219999999999995,58119,Hiatus
Overgeared #212,Kohei Horikoshi,Adventure,6.942666666666667,53058,Completed
Attack on Titan #213,Koyoharu Gotouge,Drama,8.791333333333332,64030,Completed
The Second Coming of Gluttony #214,I Eat Tomatoes,Comedy,6.284666666666666,3953,Ongoing
I Shall Seal the Heavens #215,Cheongcho,Romance,6.676333333333333,26001,Completed
Attack on Titan #216,Cocooned Cow,Romance,9.088999999999999,47660,Ongoing
Trash of the Count’s Family #217,Koyoharu Gotouge,Comedy,6.723333333333333,54929,Ongoing
Reincarnation of the Strongest Sword God #218,Yoo Ryeo Han,Action,9.057666666666666,68940,Ongoing
Sword Art Online #219,Hajime Isayama,Drama,9.637333333333332,2786,Completed
Battle Through the Heavens #220,Jeong Gong,Sci-Fi,6.331666666666667,88752,Ongoing
Desolate Era #221,Tang Jia San Shao,Drama,8.070666666666666,97296,Completed
The Second Coming of Gluttony #222,Kugane Maruyama,Sci-Fi,7.600666666666666,55687,Hiatus
Demon Slayer #223,Kugane Maruyama,Drama,8.008,27300,Hiatus
Demon Slayer #224,Cocooned Cow,Comedy,8.775666666666666,97003,Hiatus
Sword Art Online #225,Drunken Blue,Drama,5.141,90329,Hiatus
One Piece #226,Kim Jeongho,Comedy,9.104666666666667,72398,Ongoing
Naruto #227,Cheongcho,Fantasy,7.851333333333333,90714,Completed
Overlord #228,Chugong,Sci-Fi,7.960999999999999,65915,Hiatus
The Second Coming of Gluttony #229,Cocooned Cow,Horror,7.491,97433,Hiatus
Demon Slayer #230,Masashi Kishimoto,Sci-Fi,5.485666666666667,4798,Ongoing
Dungeon Defense #231,Blue Butterfly,Drama,5.94,92624,Ongoing
The Legendary Moonlight Sculptor #232,Tang Jia San Shao,Action,5.924333333333333,53806,Hiatus
Against the Gods #233,Tite Kubo,Fantasy,5.266333333333333,82601,Hiatus
Sword Art Online #234,I Eat Tomatoes,Comedy,8.932333333333332,4432,Completed
Re:Zero #235,Chugong,Horror,7.773,97270,Ongoing
Coiling Dragon #236,Zhu Hong,Horror,7.256,84148,Ongoing
Ranker Who Lives A Second Time #237,Zhu Hong,Romance,8.149,92751,Hiatus
Omniscient Reader's Viewpoint #238,Goose Five,Adventure,6.457,45122,Completed
Reincarnation of the Strongest Sword God #239,MOKF,Comedy,7.459666666666666,34597,Completed
A Returner’s Magic Should Be Special #240,Tang Jia San Shao,Sci-Fi,9.574666666666666,61740,Ongoing
Martial World #241,MOKF,Action,9.480666666666668,26099,Ongoing
Tokyo Ghoul #242,Nam Heesung,Horror,6.269,90968,Completed
I Shall Seal the Heavens #243,Sing Shong,Comedy,6.504,43640,Hiatus
One Piece #244,Blue Butterfly,Romance,8.587666666666665,12240,Ongoing
I Shall Seal the Heavens #245,Heavenly Silkworm Potato,Romance,8.493666666666666,68101,Hiatus
Demon Slayer #246,Cocooned Cow,Sci-Fi,7.6946666666666665,81641,Completed
Omniscient Reader's Viewpoint #247,Er Gen,Sci-Fi,7.678999999999999,74783,Hiatus
Demon Slayer #248,Cocooned Cow,Romance,7.960999999999999,3976,Completed
Demon Slayer #249,Sing Shong,Fantasy,5.987,50291,Completed
Attack on Titan #250,Zhu Hong,Action,8.681666666666665,29331,Ongoing
I Shall Seal the Heavens #251,MOKF,Comedy,9.167333333333332,11250,Ongoing
Desolate Era #252,Nokdu,Action,8.947999999999999,37838,Ongoing
Re:Zero #253,MOKF,Action,8.806999999999999,45346,Ongoing
Stellar Transformation #254,Zhu Hong,Fantasy,8.963666666666667,8518,Hiatus
Battle Through the Heavens #255,MOKF,Sci-Fi,9.23,52040,Hiatus
Overlord #256,Wo Chi Xi Hong Shi,Romance,8.697333333333333,92213,Hiatus
My Hero Academia #257,Koyoharu Gotouge,Action,8.384,66088,Completed
One Piece #258,Er Gen,Action,5.266333333333333,5812,Hiatus
Coiling Dragon #259,Nam Heesung,Adventure,6.911333333333333,21818,Hiatus
Reincarnation of the Strongest Sword God #260,Cheongcho,Drama,5.626666666666667,27134,Hiatus
Coiling Dragon #261,Sing Shong,Action,8.901,96630,Hiatus
Re:Zero #262,Sing Shong,Sci-Fi,5.094,79657,Hiatus
One Piece #263,Toika,Action,5.1723333333333334,97642,Hiatus
One Piece #264,Sui Ishida,Drama,5.924333333333333,39763,Completed
Desolate Era #265,Tappei Nagatsuki,Action,9.527666666666665,84658,Hiatus
Solo Leveling #266,Tappei Nagatsuki,Fantasy,9.041999999999998,38355,Completed
Tokyo Ghoul #267,Kohei Horikoshi,Romance,6.817333333333333,20409,Hiatus
Douluo Dalu #268,Heavenly Silkworm Potato,Action,7.992333333333333,67066,Hiatus
Trash of the Count’s Family #269,Jeong Gong,Horror,6.331666666666667,13631,Completed
The Legendary Moonlight Sculptor #270,Heavenly Silkworm Potato,Romance,7.240333333333334,26031,Ongoing
One Piece #271,Masashi Kishimoto,Adventure,9.355333333333334,6933,Ongoing
Re:Zero #272,Cheongcho,Adventure,9.261333333333333,5703,Ongoing
The King's Avatar #273,Masashi Kishimoto,Sci-Fi,7.193333333333333,9733,Ongoing
I Shall Seal the Heavens #274,Zhu Hong,Comedy,5.517,86142,Completed
The Legendary Moonlight Sculptor #275,Koyoharu Gotouge,Action,6.300333333333333,11799,Completed
A Returner’s Magic Should Be Special #276,Heavenly Silkworm Potato,Romance,7.647666666666666,87999,Completed
Ranker Who Lives A Second Time #277,Masashi Kishimoto,Sci-Fi,6.864333333333333,84828,Hiatus
Release That Witch #278,Tang Jia San Shao,Action,7.146333333333333,22921,Completed
The Second Coming of Gluttony #279,Nokdu,Adventure,9.621666666666666,31587,Ongoing
Desolate Era #280,Masashi Kishimoto,Action,5.1723333333333334,37801,Completed
Attack on Titan #281,Chugong,Romance,7.209,95442,Completed
Stellar Transformation #282,Wo Chi Xi Hong Shi,Romance,8.117666666666667,88901,Completed
Coiling Dragon #283,Sing Shong,Action,9.370999999999999,46958,Hiatus
Omniscient Reader's Viewpoint #284,Kugane Maruyama,Romance,9.277000000000001,23190,Hiatus
Stellar Transformation #285,Sing Shong,Fantasy,5.062666666666667,1129,Completed
One Piece #286,Tite Kubo,Comedy,7.506666666666666,56738,Completed
Stellar Transformation #287,Cocooned Cow,Action,7.851333333333333,46149,Completed
Re:Zero #288,Sui Ishida,Adventure,7.115,32286,Ongoing
Dungeon Defense #289,Hajime Isayama,Horror,6.801666666666666,77768,Completed
Coiling Dragon #290,Reki Kawahara,Comedy,9.120333333333331,64793,Ongoing
The King's Avatar #291,Cocooned Cow,Comedy,7.976666666666667,67266,Completed
Overlord #292,Wo Chi Xi Hong Shi,Action,7.898333333333333,82394,Completed
Release That Witch #293,Chugong,Adventure,5.0,17569,Completed
Battle Through the Heavens #294,Nokdu,Romance,5.532666666666667,13199,Hiatus
Demon Slayer #295,MOKF,Adventure,5.830333333333333,88760,Ongoing
Release That Witch #296,Nokdu,Action,7.5536666666666665,68748,Hiatus
Overlord #297,I Eat Tomatoes,Horror,9.433666666666667,24937,Ongoing
Solo Leveling #298,Tang Jia San Shao,Horror,8.572,37393,Hiatus
Overgeared #299,Kugane Maruyama,Comedy,5.783333333333333,92907,Completed
Attack on Titan #300,Goose Five,Romance,7.146333333333333,30412,Completed
Tokyo Ghoul #301,MOKF,Sci-Fi,5.987,67400,Completed
Trash of the Count’s Family #302,MOKF,Sci-Fi,5.564,45239,Completed
Naruto #303,I Eat Tomatoes,Action,9.057666666666666,13833,Completed
Omniscient Reader's Viewpoint #304,I Eat Tomatoes,Adventure,9.652999999999999,46455,Completed
Overgeared #305,Eiichiro Oda,Horror,7.115,44610,Ongoing
Battle Through the Heavens #306,Nam Heesung,Adventure,5.767666666666667,40837,Completed
Against the Gods #307,Reki Kawahara,Adventure,9.057666666666666,19991,Completed
Bleach #308,Chugong,Comedy,7.209,72160,Hiatus
Sword Art Online #309,Masashi Kishimoto,Horror,5.814666666666667,25097,Hiatus
Dungeon Defense #310,Yoo Ryeo Han,Action,8.196,74545,Hiatus
Bleach #311,Jeong Gong,Action,6.316,39759,Ongoing
Against the Gods #312,Kohei Horikoshi,Sci-Fi,6.3629999999999995,83198,Completed
The King's Avatar #313,Sing Shong,Drama,9.057666666666666,77955,Hiatus
Trash of the Count’s Family #314,Heavenly Silkworm Potato,Fantasy,9.323999999999998,65378,Hiatus
Reincarnation of the Strongest Sword God #315,Toika,Sci-Fi,9.057666666666666,69138,Ongoing
The Legendary Moonlight Sculptor #316,Kohei Horikoshi,Fantasy,9.559,60230,Ongoing
Overgeared #317,Kugane Maruyama,Drama,5.564,57119,Ongoing
Attack on Titan #318,Reki Kawahara,Action,7.710333333333333,39666,Ongoing
Sword Art Online #319,Cocooned Cow,Romance,6.3629999999999995,21110,Hiatus
My Hero Academia #320,Koyoharu Gotouge,Romance,8.493666666666666,60730,Completed
Tokyo Ghoul #321,Sui Ishida,Action,8.963666666666667,32871,Ongoing
My Hero Academia #322,Kohei Horikoshi,Horror,7.396999999999999,23512,Completed
Dungeon Defense #323,Nokdu,Drama,5.924333333333333,30361,Hiatus
Bleach #324,Drunken Blue,Action,7.929666666666666,91464,Hiatus
Desolate Era #325,Kugane Maruyama,Action,6.143666666666666,51010,Completed
Overgeared #326,Kugane Maruyama,Adventure,6.2219999999999995,72654,Hiatus
Coiling Dragon #327,Masashi Kishimoto,Drama,7.945333333333332,73138,Hiatus
Martial World #328,Cocooned Cow,Horror,7.193333333333333,70386,Completed
Reincarnation of the Strongest Sword God #329,Nam Heesung,Horror,7.914,8148,Completed
Attack on Titan #330,Drunken Blue,Adventure,8.806999999999999,29667,Ongoing
Tokyo Ghoul #331,Reki Kawahara,Fantasy,9.308333333333334,19442,Completed
Desolate Era #332,Yoo Ryeo Han,Romance,7.209,17282,Completed
Coiling Dragon #333,Koyoharu Gotouge,Horror,7.4126666666666665,64140,Ongoing
Stellar Transformation #334,Reki Kawahara,Action,6.065333333333333,99548,Ongoing
Re:Zero #335,Nokdu,Action,5.720666666666666,5892,Hiatus
Omniscient Reader's Viewpoint #336,Kugane Maruyama,Adventure,5.6579999999999995,52345,Ongoing
Attack on Titan #337,Sing Shong,Sci-Fi,8.838333333333333,72333,Hiatus
I Shall Seal the Heavens #338,Sui Ishida,Romance,9.449333333333332,41966,Completed
The Second Coming of Gluttony #339,Nokdu,Sci-Fi,6.472666666666666,2647,Ongoing
The Legendary Moonlight Sculptor #340,Tappei Nagatsuki,Comedy,5.501333333333333,59548,Ongoing
A Returner’s Magic Should Be Special #341,Sui Ishida,Adventure,5.3133333333333335,69429,Ongoing
The Legendary Moonlight Sculptor #342,Kohei Horikoshi,Sci-Fi,9.026333333333334,83376,Ongoing
