title,authors,genres,scored,popularty,status
Coiling Dragon #28,Wo Chi Xi Hong Shi,Fantasy,3.1,52797,Ongoing
A Returner’s Magic Should Be Special #29,Yoo Ryeo Han,Action,2.97,62619,Completed
Dungeon Defense #30,Sui Ishida,Fantasy,3.58,24806,Hiatus
Solo Leveling #31,Nam Heesung,Action,2.35,64847,Completed
Coiling Dragon #32,I Eat Tomatoes,Comedy,4.74,38511,Hiatus
The Legendary Moonlight Sculptor #33,Toika,Action,3.4,65121,Completed
Overlord #34,Nokdu,Sci-Fi,2.01,47837,Completed
Omniscient Reader's Viewpoint #35,Eiichiro Oda,Fantasy,4.77,70861,Ongoing
Bleach #36,Blue Butterfly,Comedy,4.44,70477,Ongoing
Release That Witch #37,Goose Five,Sci-Fi,4.89,88725,Hiatus
Coiling Dragon #38,Cheongcho,Horror,3.66,68259,Hiatus
Stellar Transformation #39,Cocooned Cow,Adventure,4.93,22214,Ongoing
Douluo Dalu #40,Sui Ishida,Sci-Fi,3.6,29741,Ongoing
One Piece #41,Chugong,Drama,4.17,40151,Ongoing
Release That Witch #42,Nokdu,Comedy,4.99,78877,Hiatus
Battle Through the Heavens #43,Er Gen,Comedy,4.91,39974,Completed
Reincarnation of the Strongest Sword God #44,Heavenly Silkworm Potato,Romance,3.72,63077,Completed
The Legendary Moonlight Sculptor #45,Jeong Gong,Sci-Fi,3.5,9581,Completed
Reincarnation of the Strongest Sword God #46,Zhu Hong,Comedy,3.41,73713,Ongoing
Dungeon Defense #47,Er Gen,Romance,3.52,73437,Ongoing
Battle Through the Heavens #48,Toika,Horror,2.15,49133,Ongoing
Overgeared #49,Sui Ishida,Action,4.23,1788,Ongoing
The Second Coming of Gluttony #50,Sui Ishida,Drama,2.81,10090,Ongoing
Overlord #51,Hajime Isayama,Fantasy,3.58,18651,Ongoing
Martial World #52,Yoo Ryeo Han,Drama,3.9,60929,Ongoing
My Hero Academia #53,Reki Kawahara,Horror,2.29,69445,Ongoing
The Second Coming of Gluttony #54,Cocooned Cow,Action,3.39,42126,Hiatus
Martial World #55,Cocooned Cow,Action,2.06,68154,Hiatus
Dungeon Defense #56,Cocooned Cow,Action,3.03,62060,Completed
The King's Avatar #57,Masashi Kishimoto,Horror,3.34,6249,Completed
Tokyo Ghoul #58,Tite Kubo,Action,4.81,98661,Ongoing
Overgeared #59,Cheongcho,Fantasy,4.1,12509,Completed
I Shall Seal the Heavens #60,Zhu Hong,Action,4.73,45606,Completed
Release That Witch #61,Heavenly Silkworm Potato,Adventure,2.25,89642,Ongoing
Battle Through the Heavens #62,Nam Heesung,Sci-Fi,4.7,98283,Completed
Attack on Titan #63,Tite Kubo,Sci-Fi,4.58,38715,Hiatus
Solo Leveling #64,Hajime Isayama,Action,3.36,8239,Hiatus
Desolate Era #65,Masashi Kishimoto,Adventure,3.45,49850,Completed
Douluo Dalu #66,Toika,Drama,3.67,10524,Ongoing
A Returner’s Magic Should Be Special #67,Kugane Maruyama,Comedy,3.03,52766,Ongoing
Stellar Transformation #68,Cheongcho,Sci-Fi,2.34,50168,Ongoing
Trash of the Count’s Family #69,Kim Jeongho,Drama,2.04,14402,Ongoing
Douluo Dalu #70,Reki Kawahara,Adventure,2.14,64307,Completed
The Legendary Moonlight Sculptor #71,Koyoharu Gotouge,Adventure,4.1,1755,Completed
I Shall Seal the Heavens #72,Yoo Ryeo Han,Comedy,4.18,72582,Hiatus
Ranker Who Lives A Second Time #73,Sing Shong,Action,3.49,45931,Hiatus
A Returner’s Magic Should Be Special #74,Toika,Horror,3.33,15321,Hiatus
Martial World #75,Hajime Isayama,Comedy,3.99,87657,Completed
Sword Art Online #76,Kohei Horikoshi,Comedy,4.24,26631,Completed
Douluo Dalu #77,Goose Five,Drama,2.2,1941,Hiatus
Overgeared #78,Reki Kawahara,Comedy,3.6,68125,Completed
Overlord #79,Kugane Maruyama,Action,4.44,50393,Ongoing
Against the Gods #80,Tappei Nagatsuki,Action,2.89,21834,Hiatus
Battle Through the Heavens #81,I Eat Tomatoes,Sci-Fi,3.79,54768,Ongoing
Omniscient Reader's Viewpoint #82,Cocooned Cow,Romance,3.55,77046,Completed
Release That Witch #83,Wo Chi Xi Hong Shi,Comedy,3.29,33801,Hiatus
Re:Zero #84,Cocooned Cow,Horror,3.68,12833,Ongoing
Dungeon Defense #85,Reki Kawahara,Action,4.91,87356,Completed
The Second Coming of Gluttony #86,Tappei Nagatsuki,Comedy,2.44,2311,Ongoing
The King's Avatar #87,Tite Kubo,Sci-Fi,3.25,1372,Ongoing
Dungeon Defense #88,Kohei Horikoshi,Fantasy,3.75,64831,Ongoing
Martial World #89,Er Gen,Fantasy,3.82,38248,Ongoing
Bleach #90,Masashi Kishimoto,Comedy,2.14,10131,Ongoing
A Returner’s Magic Should Be Special #91,Yoo Ryeo Han,Drama,3.43,72774,Ongoing
Release That Witch #92,Yoo Ryeo Han,Adventure,2.13,56907,Hiatus
Dungeon Defense #93,Reki Kawahara,Adventure,3.38,42912,Ongoing
Overgeared #94,Cocooned Cow,Horror,2.87,34657,Hiatus
Overlord #95,Blue Butterfly,Drama,4.49,83937,Completed
Tokyo Ghoul #96,Reki Kawahara,Horror,3.39,49466,Ongoing
The Second Coming of Gluttony #97,Eiichiro Oda,Sci-Fi,2.9,79032,Ongoing
The King's Avatar #98,Goose Five,Comedy,3.37,93057,Completed
Reincarnation of the Strongest Sword God #99,Sui Ishida,Comedy,4.94,74430,Completed
I Shall Seal the Heavens #100,Jeong Gong,Romance,2.93,31455,Hiatus
I Shall Seal the Heavens #101,Koyoharu Gotouge,Fantasy,4.8,81520,Ongoing
Dungeon Defense #102,Cocooned Cow,Horror,2.7,78298,Ongoing
Coiling Dragon #103,Tappei Nagatsuki,Horror,2.24,94701,Hiatus
Against the Gods #104,Zhu Hong,Romance,2.95,4717,Hiatus
Release That Witch #105,Kim Jeongho,Fantasy,3.23,18871,Completed
A Returner’s Magic Should Be Special #106,Toika,Romance,2.53,24914,Hiatus
Overlord #107,Heavenly Silkworm Potato,Drama,2.64,32160,Ongoing
Martial World #108,Er Gen,Action,2.23,88005,Hiatus
Tokyo Ghoul #109,Zhu Hong,Drama,4.75,96736,Hiatus
One Piece #110,Jeong Gong,Drama,4.3,95828,Ongoing
My Hero Academia #111,Zhu Hong,Romance,3.13,43979,Completed
Tokyo Ghoul #112,Drunken Blue,Horror,3.39,75490,Completed
My Hero Academia #113,Blue Butterfly,Horror,2.63,62672,Hiatus
Overlord #114,I Eat Tomatoes,Horror,2.5,29786,Completed
Dungeon Defense #115,Cocooned Cow,Fantasy,4.39,5714,Completed
Dungeon Defense #116,Nam Heesung,Adventure,2.87,5078,Ongoing
The Legendary Moonlight Sculptor #117,Hajime Isayama,Sci-Fi,4.06,85363,Completed
I Shall Seal the Heavens #118,Jeong Gong,Sci-Fi,4.84,76652,Hiatus
Dungeon Defense #119,Eiichiro Oda,Comedy,3.6,5205,Completed
Overgeared #120,Zhu Hong,Sci-Fi,3.66,82960,Completed
My Hero Academia #121,Er Gen,Fantasy,3.92,80672,Ongoing
Ranker Who Lives A Second Time #122,Chugong,Romance,4.72,14270,Ongoing
Battle Through the Heavens #123,Masashi Kishimoto,Action,2.18,6747,Ongoing
The King's Avatar #124,Tappei Nagatsuki,Drama,4.24,25198,Hiatus
Demon Slayer #125,Cheongcho,Drama,3.19,25881,Completed
Desolate Era #126,I Eat Tomatoes,Romance,2.88,36203,Completed
Naruto #127,Cheongcho,Fantasy,4.9,52776,Hiatus
Douluo Dalu #128,Koyoharu Gotouge,Fantasy,4.36,88584,Completed
Douluo Dalu #129,Yoo Ryeo Han,Sci-Fi,3.91,7480,Hiatus
Bleach #130,Kim Jeongho,Romance,2.35,5282,Hiatus
Solo Leveling #131,Masashi Kishimoto,Comedy,4.14,23392,Hiatus
Battle Through the Heavens #132,Kim Jeongho,Fantasy,2.51,44973,Ongoing
Trash of the Count’s Family #133,Drunken Blue,Comedy,4.05,67489,Hiatus
Sword Art Online #134,Kugane Maruyama,Horror,2.81,12776,Ongoing
Release That Witch #135,Yoo Ryeo Han,Fantasy,2.65,98708,Completed
Attack on Titan #136,Er Gen,Comedy,4.11,58319,Ongoing
I Shall Seal the Heavens #137,Hajime Isayama,Fantasy,3.02,32981,Hiatus
Battle Through the Heavens #138,I Eat Tomatoes,Action,2.31,26330,Ongoing
Release That Witch #139,Drunken Blue,Horror,4.19,50645,Completed
Trash of the Count’s Family #140,MOKF,Adventure,2.11,45448,Hiatus
Battle Through the Heavens #141,Wo Chi Xi Hong Shi,Romance,2.02,15270,Completed
Against the Gods #142,Masashi Kishimoto,Action,2.84,39028,Hiatus
Martial World #143,Er Gen,Romance,4.44,82849,Ongoing
Desolate Era #144,Goose Five,Action,4.91,95350,Ongoing
Sword Art Online #145,Jeong Gong,Sci-Fi,2.21,36678,Ongoing
Solo Leveling #146,Sing Shong,Fantasy,3.76,13459,Completed
Re:Zero #147,Kugane Maruyama,Romance,4.99,80913,Completed
Martial World #148,Nokdu,Action,4.18,88783,Hiatus
Overlord #149,Kohei Horikoshi,Fantasy,4.78,45812,Hiatus
Trash of the Count’s Family #150,Nam Heesung,Drama,4.1,96670,Completed
Bleach #151,Reki Kawahara,Comedy,3.99,96185,Completed
Attack on Titan #152,Yoo Ryeo Han,Fantasy,3.92,20826,Ongoing
Demon Slayer #153,Drunken Blue,Sci-Fi,3.92,6335,Ongoing
Demon Slayer #154,Tang Jia San Shao,Romance,2.91,47340,Hiatus
Battle Through the Heavens #155,Tappei Nagatsuki,Horror,2.35,34959,Completed
Ranker Who Lives A Second Time #156,Kim Jeongho,Adventure,4.78,26986,Completed
The Second Coming of Gluttony #157,Toika,Adventure,2.01,35492,Hiatus
Omniscient Reader's Viewpoint #158,Heavenly Silkworm Potato,Horror,2.36,98323,Ongoing
Sword Art Online #159,Chugong,Sci-Fi,2.35,78315,Ongoing
Coiling Dragon #160,Kugane Maruyama,Romance,3.03,49999,Ongoing
Desolate Era #161,Tappei Nagatsuki,Fantasy,2.11,23028,Hiatus
Release That Witch #162,Drunken Blue,Adventure,2.04,68092,Hiatus
Battle Through the Heavens #163,Chugong,Action,3.36,99187,Ongoing
Release That Witch #164,Chugong,Action,2.06,68542,Ongoing
The Legendary Moonlight Sculptor #165,Nokdu,Adventure,2.65,46642,Hiatus
My Hero Academia #166,Hajime Isayama,Horror,3.06,41262,Hiatus
Tokyo Ghoul #167,Toika,Romance,4.48,25390,Ongoing
The Legendary Moonlight Sculptor #168,Drunken Blue,Romance,2.4,83083,Ongoing
The Legendary Moonlight Sculptor #169,Reki Kawahara,Sci-Fi,4.58,7441,Hiatus
Stellar Transformation #170,Chugong,Drama,4.24,32259,Hiatus
Sword Art Online #171,Cocooned Cow,Romance,3.17,70372,Hiatus
Against the Gods #172,Sui Ishida,Action,4.17,57101,Ongoing
A Returner’s Magic Should Be Special #173,Koyoharu Gotouge,Horror,3.92,94298,Ongoing
Stellar Transformation #174,Eiichiro Oda,Horror,4.32,96887,Ongoing
Reincarnation of the Strongest Sword God #175,Zhu Hong,Romance,3.02,36005,Ongoing
Reincarnation of the Strongest Sword God #176,Cheongcho,Romance,2.56,30633,Ongoing
I Shall Seal the Heavens #177,Wo Chi Xi Hong Shi,Sci-Fi,3.17,48119,Completed
My Hero Academia #178,Tang Jia San Shao,Action,3.55,93840,Ongoing
Reincarnation of the Strongest Sword God #179,Sui Ishida,Horror,2.4,39887,Hiatus
Sword Art Online #180,Er Gen,Sci-Fi,4.46,8009,Completed
Dungeon Defense #181,Drunken Blue,Comedy,2.64,11368,Completed
Overlord #182,Heavenly Silkworm Potato,Action,4.94,47019,Completed
One Piece #183,Cocooned Cow,Action,4.36,48551,Hiatus
The Second Coming of Gluttony #184,Cocooned Cow,Drama,4.05,58991,Hiatus
Omniscient Reader's Viewpoint #185,Sui Ishida,Horror,4.21,66734,Hiatus
Martial World #186,Yoo Ryeo Han,Sci-Fi,2.17,58280,Ongoing
Demon Slayer #187,Sing Shong,Sci-Fi,4.41,95295,Completed
The King's Avatar #188,Chugong,Romance,2.31,15556,Ongoing
Trash of the Count’s Family #189,Yoo Ryeo Han,Drama,2.89,6766,Ongoing
The Legendary Moonlight Sculptor #190,Wo Chi Xi Hong Shi,Sci-Fi,2.52,57911,Hiatus
Against the Gods #191,Toika,Comedy,2.08,23114,Ongoing
Release That Witch #192,Reki Kawahara,Fantasy,3.27,57926,Hiatus
Release That Witch #193,Sui Ishida,Drama,2.19,72145,Hiatus
Demon Slayer #194,Tang Jia San Shao,Adventure,4.17,62330,Ongoing
One Piece #195,Er Gen,Action,3.99,35614,Ongoing
One Piece #196,Cheongcho,Fantasy,4.56,67672,Ongoing
Trash of the Count’s Family #197,Masashi Kishimoto,Drama,4.46,25687,Ongoing
Re:Zero #198,Kohei Horikoshi,Comedy,2.33,50404,Ongoing
Naruto #199,Yoo Ryeo Han,Adventure,3.34,42888,Hiatus
Bleach #200,Drunken Blue,Comedy,4.52,76020,Ongoing
One Piece #201,I Eat Tomatoes,Comedy,3.83,76183,Ongoing
Bleach #202,Sing Shong,Adventure,2.21,27143,Completed
My Hero Academia #203,Chugong,Fantasy,3.9,9830,Completed
Overgeared #204,Heavenly Silkworm Potato,Comedy,4.97,62994,Hiatus
Naruto #205,Hajime Isayama,Sci-Fi,3.69,37999,Hiatus
Battle Through the Heavens #206,Nokdu,Fantasy,3.15,84756,Ongoing
The King's Avatar #207,MOKF,Adventure,2.42,85553,Ongoing
Re:Zero #208,Tite Kubo,Comedy,2.94,28796,Ongoing
Re:Zero #209,Kim Jeongho,Action,2.63,56001,Hiatus
One Piece #210,Reki Kawahara,Adventure,3.52,97584,Hiatus
Martial World #211,Eiichiro Oda,Romance,2.78,58119,Hiatus
Overgeared #212,Kohei Horikoshi,Adventure,3.24,53058,Completed
Attack on Titan #213,Koyoharu Gotouge,Drama,4.42,64030,Completed
The Second Coming of Gluttony #214,I Eat Tomatoes,Comedy,2.82,3953,Ongoing
I Shall Seal the Heavens #215,Cheongcho,Romance,3.07,26001,Completed
Attack on Titan #216,Cocooned Cow,Romance,4.61,47660,Ongoing
Trash of the Count’s Family #217,Koyoharu Gotouge,Comedy,3.1,54929,Ongoing
Reincarnation of the Strongest Sword God #218,Yoo Ryeo Han,Action,4.59,68940,Ongoing
Sword Art Online #219,Hajime Isayama,Drama,4.96,2786,Completed
Battle Through the Heavens #220,Jeong Gong,Sci-Fi,2.85,88752,Ongoing
Desolate Era #221,Tang Jia San Shao,Drama,3.96,97296,Completed
The Second Coming of Gluttony #222,Kugane Maruyama,Sci-Fi,3.66,55687,Hiatus
Demon Slayer #223,Kugane Maruyama,Drama,3.92,27300,Hiatus
Demon Slayer #224,Cocooned Cow,Comedy,4.41,97003,Hiatus
Sword Art Online #225,Drunken Blue,Drama,2.09,90329,Hiatus
One Piece #226,Kim Jeongho,Comedy,4.62,72398,Ongoing
Naruto #227,Cheongcho,Fantasy,3.82,90714,Completed
Overlord #228,Chugong,Sci-Fi,3.89,65915,Hiatus
The Second Coming of Gluttony #229,Cocooned Cow,Horror,3.59,97433,Hiatus
Demon Slayer #230,Masashi Kishimoto,Sci-Fi,2.31,4798,Ongoing
Dungeon Defense #231,Blue Butterfly,Drama,2.6,92624,Ongoing
The Legendary Moonlight Sculptor #232,Tang Jia San Shao,Action,2.59,53806,Hiatus
Against the Gods #233,Tite Kubo,Fantasy,2.17,82601,Hiatus
Sword Art Online #234,I Eat Tomatoes,Comedy,4.51,4432,Completed
Re:Zero #235,Chugong,Horror,3.77,97270,Ongoing
Coiling Dragon #236,Zhu Hong,Horror,3.44,84148,Ongoing
Ranker Who Lives A Second Time #237,Zhu Hong,Romance,4.01,92751,Hiatus
Omniscient Reader's Viewpoint #238,Goose Five,Adventure,2.93,45122,Completed
Reincarnation of the Strongest Sword God #239,MOKF,Comedy,3.57,34597,Completed
A Returner’s Magic Should Be Special #240,Tang Jia San Shao,Sci-Fi,4.92,61740,Ongoing
Martial World #241,MOKF,Action,4.86,26099,Ongoing
Tokyo Ghoul #242,Nam Heesung,Horror,2.81,90968,Completed
I Shall Seal the Heavens #243,Sing Shong,Comedy,2.96,43640,Hiatus
One Piece #244,Blue Butterfly,Romance,4.29,12240,Ongoing
I Shall Seal the Heavens #245,Heavenly Silkworm Potato,Romance,4.23,68101,Hiatus
Demon Slayer #246,Cocooned Cow,Sci-Fi,3.72,81641,Completed
Omniscient Reader's Viewpoint #247,Er Gen,Sci-Fi,3.71,74783,Hiatus
Demon Slayer #248,Cocooned Cow,Romance,3.89,3976,Completed
Demon Slayer #249,Sing Shong,Fantasy,2.63,50291,Completed
Attack on Titan #250,Zhu Hong,Action,4.35,29331,Ongoing
I Shall Seal the Heavens #251,MOKF,Comedy,4.66,11250,Ongoing
Desolate Era #252,Nokdu,Action,4.52,37838,Ongoing
Re:Zero #253,MOKF,Action,4.43,45346,Ongoing
Stellar Transformation #254,Zhu Hong,Fantasy,4.53,8518,Hiatus
Battle Through the Heavens #255,MOKF,Sci-Fi,4.7,52040,Hiatus
Overlord #256,Wo Chi Xi Hong Shi,Romance,4.36,92213,Hiatus
My Hero Academia #257,Koyoharu Gotouge,Action,4.16,66088,Completed
One Piece #258,Er Gen,Action,2.17,5812,Hiatus
Coiling Dragon #259,Nam Heesung,Adventure,3.22,21818,Hiatus
Reincarnation of the Strongest Sword God #260,Cheongcho,Drama,2.4,27134,Hiatus
Coiling Dragon #261,Sing Shong,Action,4.49,96630,Hiatus
Re:Zero #262,Sing Shong,Sci-Fi,2.06,79657,Hiatus
One Piece #263,Toika,Action,2.11,97642,Hiatus
One Piece #264,Sui Ishida,Drama,2.59,39763,Completed
Desolate Era #265,Tappei Nagatsuki,Action,4.89,84658,Hiatus
Solo Leveling #266,Tappei Nagatsuki,Fantasy,4.58,38355,Completed
Tokyo Ghoul #267,Kohei Horikoshi,Romance,3.16,20409,Hiatus
Douluo Dalu #268,Heavenly Silkworm Potato,Action,3.91,67066,Hiatus
Trash of the Count’s Family #269,Jeong Gong,Horror,2.85,13631,Completed
The Legendary Moonlight Sculptor #270,Heavenly Silkworm Potato,Romance,3.43,26031,Ongoing
One Piece #271,Masashi Kishimoto,Adventure,4.78,6933,Ongoing
Re:Zero #272,Cheongcho,Adventure,4.72,5703,Ongoing
The King's Avatar #273,Masashi Kishimoto,Sci-Fi,3.4,9733,Ongoing
I Shall Seal the Heavens #274,Zhu Hong,Comedy,2.33,86142,Completed
The Legendary Moonlight Sculptor #275,Koyoharu Gotouge,Action,2.83,11799,Completed
A Returner’s Magic Should Be Special #276,Heavenly Silkworm Potato,Romance,3.69,87999,Completed
Ranker Who Lives A Second Time #277,Masashi Kishimoto,Sci-Fi,3.19,84828,Hiatus
Release That Witch #278,Tang Jia San Shao,Action,3.37,22921,Completed
The Second Coming of Gluttony #279,Nokdu,Adventure,4.95,31587,Ongoing
Desolate Era #280,Masashi Kishimoto,Action,2.11,37801,Completed
Attack on Titan #281,Chugong,Romance,3.41,95442,Completed
Stellar Transformation #282,Wo Chi Xi Hong Shi,Romance,3.99,88901,Completed
Coiling Dragon #283,Sing Shong,Action,4.79,46958,Hiatus
Omniscient Reader's Viewpoint #284,Kugane Maruyama,Romance,4.73,23190,Hiatus
Stellar Transformation #285,Sing Shong,Fantasy,2.04,1129,Completed
One Piece #286,Tite Kubo,Comedy,3.6,56738,Completed
Stellar Transformation #287,Cocooned Cow,Action,3.82,46149,Completed
Re:Zero #288,Sui Ishida,Adventure,3.35,32286,Ongoing
Dungeon Defense #289,Hajime Isayama,Horror,3.15,77768,Completed
Coiling Dragon #290,Reki Kawahara,Comedy,4.63,64793,Ongoing
The King's Avatar #291,Cocooned Cow,Comedy,3.9,67266,Completed
Overlord #292,Wo Chi Xi Hong Shi,Action,3.85,82394,Completed
Release That Witch #293,Chugong,Adventure,2.0,17569,Completed
Battle Through the Heavens #294,Nokdu,Romance,2.34,13199,Hiatus
Demon Slayer #295,MOKF,Adventure,2.53,88760,Ongoing
Release That Witch #296,Nokdu,Action,3.63,68748,Hiatus
Overlord #297,I Eat Tomatoes,Horror,4.83,24937,Ongoing
Solo Leveling #298,Tang Jia San Shao,Horror,4.28,37393,Hiatus
Overgeared #299,Kugane Maruyama,Comedy,2.5,92907,Completed
Attack on Titan #300,Goose Five,Romance,3.37,30412,Completed
Tokyo Ghoul #301,MOKF,Sci-Fi,2.63,67400,Completed
Trash of the Count’s Family #302,MOKF,Sci-Fi,2.36,45239,Completed
Naruto #303,I Eat Tomatoes,Action,4.59,13833,Completed
Omniscient Reader's Viewpoint #304,I Eat Tomatoes,Adventure,4.97,46455,Completed
Overgeared #305,Eiichiro Oda,Horror,3.35,44610,Ongoing
Battle Through the Heavens #306,Nam Heesung,Adventure,2.49,40837,Completed
Against the Gods #307,Reki Kawahara,Adventure,4.59,19991,Completed
Bleach #308,Chugong,Comedy,3.41,72160,Hiatus
Sword Art Online #309,Masashi Kishimoto,Horror,2.52,25097,Hiatus
Dungeon Defense #310,Yoo Ryeo Han,Action,4.04,74545,Hiatus
Bleach #311,Jeong Gong,Action,2.84,39759,Ongoing
Against the Gods #312,Kohei Horikoshi,Sci-Fi,2.87,83198,Completed
The King's Avatar #313,Sing Shong,Drama,4.59,77955,Hiatus
Trash of the Count’s Family #314,Heavenly Silkworm Potato,Fantasy,4.76,65378,Hiatus
Reincarnation of the Strongest Sword God #315,Toika,Sci-Fi,4.59,69138,Ongoing
The Legendary Moonlight Sculptor #316,Kohei Horikoshi,Fantasy,4.91,60230,Ongoing
Overgeared #317,Kugane Maruyama,Drama,2.36,57119,Ongoing
Attack on Titan #318,Reki Kawahara,Action,3.73,39666,Ongoing
Sword Art Online #319,Cocooned Cow,Romance,2.87,21110,Hiatus
My Hero Academia #320,Koyoharu Gotouge,Romance,4.23,60730,Completed
Tokyo Ghoul #321,Sui Ishida,Action,4.53,32871,Ongoing
My Hero Academia #322,Kohei Horikoshi,Horror,3.53,23512,Completed
Dungeon Defense #323,Nokdu,Drama,2.59,30361,Hiatus
Bleach #324,Drunken Blue,Action,3.87,91464,Hiatus
Desolate Era #325,Kugane Maruyama,Action,2.73,51010,Completed
Overgeared #326,Kugane Maruyama,Adventure,2.78,72654,Hiatus
Coiling Dragon #327,Masashi Kishimoto,Drama,3.88,73138,Hiatus
Martial World #328,Cocooned Cow,Horror,3.4,70386,Completed
Reincarnation of the Strongest Sword God #329,Nam Heesung,Horror,3.86,8148,Completed
Attack on Titan #330,Drunken Blue,Adventure,4.43,29667,Ongoing
Tokyo Ghoul #331,Reki Kawahara,Fantasy,4.75,19442,Completed
Desolate Era #332,Yoo Ryeo Han,Romance,3.41,17282,Completed
Coiling Dragon #333,Koyoharu Gotouge,Horror,3.54,64140,Ongoing
Stellar Transformation #334,Reki Kawahara,Action,2.68,99548,Ongoing
Re:Zero #335,Nokdu,Action,2.46,5892,Hiatus
Omniscient Reader's Viewpoint #336,Kugane Maruyama,Adventure,2.42,52345,Ongoing
Attack on Titan #337,Sing Shong,Sci-Fi,4.45,72333,Hiatus
I Shall Seal the Heavens #338,Sui Ishida,Romance,4.84,41966,Completed
The Second Coming of Gluttony #339,Nokdu,Sci-Fi,2.94,2647,Ongoing
The Legendary Moonlight Sculptor #340,Tappei Nagatsuki,Comedy,2.32,59548,Ongoing
A Returner’s Magic Should Be Special #341,Sui Ishida,Adventure,2.2,69429,Ongoing
The Legendary Moonlight Sculptor #342,Kohei Horikoshi,Sci-Fi,4.57,83376,Ongoing
Coiling Dragon #343,Toika,Comedy,2.29,56794,Completed
Overgeared #344,Blue Butterfly,Adventure,4.03,14809,Ongoing
My Hero Academia #345,Kugane Maruyama,Romance,2.23,95966,Completed
The Second Coming of Gluttony #346,Nam Heesung,Romance,2.94,59675,Completed
Coiling Dragon #347,Toika,Drama,4.12,87902,Hiatus
Against the Gods #348,Sing Shong,Comedy,4.83,73845,Hiatus
Coiling Dragon #349,Zhu Hong,Fantasy,3.07,78990,Completed
Martial World #350,Nokdu,Horror,3.67,62169,Completed
Coiling Dragon #351,Reki Kawahara,Horror,2.93,50910,Ongoing
One Piece #352,Blue Butterfly,Adventure,4.5,44887,Hiatus
One Piece #353,Goose Five,Adventure,2.07,34587,Ongoing
Attack on Titan #354,Kohei Horikoshi,Horror,3.72,40265,Completed
My Hero Academia #355,Hajime Isayama,Action,2.3,29525,Hiatus
Release That Witch #356,Nam Heesung,Sci-Fi,2.83,79965,Hiatus
I Shall Seal the Heavens #357,Kohei Horikoshi,Fantasy,2.26,25006,Hiatus
Bleach #358,Drunken Blue,Adventure,2.28,57461,Completed
My Hero Academia #359,Wo Chi Xi Hong Shi,Drama,2.4,95416,Hiatus
My Hero Academia #360,Nam Heesung,Fantasy,3.19,80088,Completed
Solo Leveling #361,Nam Heesung,Comedy,3.13,8106,Hiatus
Desolate Era #362,Reki Kawahara,Action,4.09,42828,Completed
Stellar Transformation #363,Tite Kubo,Fantasy,2.71,22952,Ongoing
Attack on Titan #364,Heavenly Silkworm Potato,Adventure,2.53,97086,Ongoing
The King's Avatar #365,Tite Kubo,Comedy,3.27,81519,Hiatus
Ranker Who Lives A Second Time #366,Koyoharu Gotouge,Horror,3.61,67357,Hiatus
Naruto #367,Tappei Nagatsuki,Drama,4.1,29276,Hiatus
Trash of the Count’s Family #368,Nam Heesung,Action,4.3,1546,Completed
Solo Leveling #369,Tite Kubo,Sci-Fi,2.94,45108,Completed
Re:Zero #370,Drunken Blue,Sci-Fi,2.67,57938,Completed
Demon Slayer #371,Cocooned Cow,Drama,3.99,34419,Hiatus
Release That Witch #372,Kugane Maruyama,Horror,3.05,53552,Completed
Tokyo Ghoul #373,Jeong Gong,Action,2.08,1364,Hiatus
